"Test Case ID","Test Scenario","Precondition","Test Condition","Test Case Steps","Test Data","Expected Result"
"<Sequence number>","<Identify test scenarios>","<This cell specifies the state a system and its environment must be in before this specific test case can be run>","<This cell describes what to test for i.e. the condition which is being tested for>","<This cell describes how to test i.e. the detailed testing procedure>","<Mention test data to be used>","<Describe the expected test result>"
"TC_TopSpecialities_01","TS_TopSpecialities_01","1.User should be on homepage.","To validate that when website url is entered in the browser it opens the website.","1. Open Browser
2. Enter URL for the website","https://www.apollo247.com/","1.It  should open the landing page of the website."
"TC_TopSpecialities_02","TS_TopSpecialities_02","1.User should be on homepage.","To validate that website is displyed correctly in all the browsers","
1. Visit different pages and features of website.
2. Follow above steps in different browsers
","","1.It should display the content of  website correctly in all browsers."
"TC_CovidConsultation_01","TS_CovidConsultation_01","1.User should be on homepage.","To validate the homepage displays the  covid consultation category .","1. Locate and click on the keyword ""Covid Consultation"".



","","Clicking on the keyword ""Covid Consultation"" should directly navigate the user to ""online covid consultation"" page."
"TC_CovidConsultation_02","TS_CovidConsultation_02","1.Sort option should be visible","To validate that the presence and functionality of sort"," 1.Click from the sort options


","","IT should display the dropdown of nearby  doctors ."
"TC_CovidConsultation_03","TS_CovidConsultation_03","1.User should be on sort by low to high.","To validate the presence and functionality of the ""low to high"" sorting options .","1. Look for sorting options.                         2.Select ""low to high"" sorting option.              

","","The ""Covid consultant "" category should have a ""low to high"" sorting option, and upon selecting it, doctors list should be rearranged with lowest cost doctor displayed first."
"TC_CovidConsultation_04","TS_CovidConsultation_04","1.User should be on high to low","To validate the presence and functionality of the ""high to low"" sorting options .","1.Look for sorting options.                         2.Select ""high to low"" sorting option.             ","","The ""Covid consultant "" category should have a ""high to low"" sorting option, and upon selecting it, doctors list should be rearranged with highest cost doctor displayed first."
"TC_CovidConsultation_05","TS_CovidConsultation_05","1.User should be on years on experience.","To validate  the presence and experinence of the doctor accordingly.","1.Look for sorting options.                         2.Select ""years of experience"" sorting option.            ","","The ""years of experience"" dropdown have a sorting option, and it would show the experience in the arranged list."
"TC_CovidConsultation_06","TS_CovidConsultation_06","1.Users should check on the online consults checkbox.","To validate  the visibility and availability of the online doctors  .","1.Click the online consults checkbox.      ","","The ""online consults"" button would show the online doctor list available for booking."
"TC_CovidConsultation_07","TS_CovidConsultation_07","1.Homepage should be accessible.
2.Users should be able to check the digital consult .","To validate the availability of the booking for digital consult doctors.","1.Click on ""book digital consult"" button.
2.Select the dates and slots.","2.23Feb
6:00pm","The user should get re-directed to the schedule appointment page."
"TC_CovidConsultation_08","TS_CovidConsultation_08","1.Homepage should be accessible.
2.Users should be able to check the clinic visit .","To validate the availability of the booking for clinic visit doctors.","1.Click on ""book clinic visit"" button.
2.Select the dates and slots for appointment.","2.26mar
9:00pm","The user should get re-directed to the schedule appointment page."
"TC_CovidConsultation_09","TS_CovidConsultation_09","1.Homepage should be accessible.
2.Users should be able to request for digital consult. ","To validate the availability of the booking for the request for digital consult.","1.Click on ""request digital consult"".
2. Select on patient name.
3.Choose the prefered mode of appointment.
4.Choose the prefered date range for appointment.","2.Suraj kumar
3.Video consult
4.Anytime","The user should get the request appointment page."
